日付,観客数,勝敗,スコア,対戦相手,先発投手,試合時間,球場,日付
3月20日(土),"42,002 人",●,3 - 5,ソフトバンク,ダルビッシュ,3:24,札幌ドーム,3月20日(土)
3月21日(日),"37,125 人",●,1 - 2,ソフトバンク,武田勝,3:24,札幌ドーム,3月21日(日)
3月22日(月),"33,021 人",○,16 - 5,ソフトバンク,ケッペル,3:27,札幌ドーム,3月22日(月)
3月30日(火),"17,588 人",●,4 - 8,オリックス,糸数,2:56,東京ドーム,3月30日(火)
3月31日(水),"18,429 人",●,2 - 3,オリックス,カーライル,2:52,東京ドーム,3月31日(水)
4月2日(金),"19,740 人",●,4 - 6,西武,八木,3:42,札幌ドーム,4月2日(金)
4月3日(土),"30,225 人",○,2 - 1,西武,ダルビッシュ,2:36,札幌ドーム,4月3日(土)
4月4日(日),"28,830 人",●,0 - 4,西武,武田勝,2:48,札幌ドーム,4月4日(日)
4月6日(火),"17,428 人",●,1 - 3,楽天,多田野,3:09,札幌ドーム,4月6日(火)
4月7日(水),"16,930 人",●,3 - 6,楽天,カーライル,3:08,札幌ドーム,4月7日(水)
4月8日(木),"15,582 人",○,8 - 4,楽天,ケッペル,2:53,札幌ドーム,4月8日(木)
4月13日(火),"15,753 人",●,7 - 8,ロッテ,多田野,4:07,札幌ドーム,4月13日(火)
4月14日(水),"17,236 人",●,1 - 6,ロッテ,カーライル,2:46,札幌ドーム,4月14日(水)
4月15日(木),"17,661 人",●,3 - 6,ロッテ,ケッペル,3:09,札幌ドーム,4月15日(木)
4月27日(火),"17,599 人",○,1 - 0,オリックス,増井,2:42,札幌ドーム,4月27日(火)
4月28日(水),"22,115 人",●,5 - 13,オリックス,吉川,3:23,札幌ドーム,4月28日(水)
4月29日(木),"25,333 人",○,5 - 3,オリックス,ケッペル,3:01,札幌ドーム,4月29日(木)
4月30日(金),"22,357 人",○,3 - 2,西武,木田,3:23,札幌ドーム,4月30日(金)
5月1日(土),"38,601 人",○,5 - 0,西武,ダルビッシュ,2:53,札幌ドーム,5月1日(土)
5月2日(日),"42,002 人",●,1 - 4,西武,武田勝,3:05,札幌ドーム,5月2日(日)
5月8日(土),"18,823 人",○,1 - 0,楽天,ダルビッシュ,3:20,函館,5月8日(土)
5月9日(日),"18,788 人",○,7 - 3,楽天,武田勝,3:23,函館,5月9日(日)
5月18日(火),"36,712 人",○,7 - 1,巨人,ケッペル,2:32,札幌ドーム,5月18日(火)
5月19日(水),"39,738 人",○,3 - 1,巨人,増井,2:27,札幌ドーム,5月19日(水)
5月21日(金),"28,482 人",●,1 - 4,横浜,ダルビッシュ,2:59,札幌ドーム,5月21日(金)
5月22日(土),"31,628 人",○,3 - 1,横浜,武田勝,2:36,札幌ドーム,5月22日(土)
5月29日(土),"42,002 人",●,2 - 4,阪神,ダルビッシュ,3:13,札幌ドーム,5月29日(土)
5月30日(日),"41,422 人",●,2 - 3,阪神,武田勝,3:40,札幌ドーム,5月30日(日)
6月1日(火),"19,478 人",●,4 - 5,広島,ケッペル,3:04,札幌ドーム,6月1日(火)
6月2日(水),"21,421 人",△,2 - 2,広島,増井,4:19,札幌ドーム,6月2日(水)
6月9日(水),"30,169 人",●,1 - 6,ヤクルト,増井,2:53,札幌ドーム,6月9日(水)
6月10日(木),"20,493 人",●,4 - 6,ヤクルト,矢貫,3:20,札幌ドーム,6月10日(木)
6月12日(土),"27,375 人",○,9 - 0,中日,ダルビッシュ,2:25,札幌ドーム,6月12日(土)
6月13日(日),"29,652 人",○,5 - 0,中日,ケッペル,2:38,札幌ドーム,6月13日(日)
6月25日(金),"21,319 人",○,7 - 3,ロッテ,金森,2:41,札幌ドーム,6月25日(金)
6月26日(土),"31,775 人",○,10 - 4,ロッテ,ダルビッシュ,3:16,札幌ドーム,6月26日(土)
6月27日(日),"27,369 人",○,10 - 3,ロッテ,ケッペル,3:06,札幌ドーム,6月27日(日)
7月6日(火),"27,516 人",●,0 - 12,ソフトバンク,矢貫,3:30,東京ドーム,7月6日(火)
7月7日(水),"30,975 人",○,6 - 2,ソフトバンク,八木,2:57,東京ドーム,7月7日(水)
