日付,観客数,勝敗,スコア,対戦相手,先発投手,試合時間,球場,日付
7月8日(木),"20,247 人",○,7 - 0,ソフトバンク,武田勝,2:40,東京ドーム,7月8日(木)
7月9日(金),"24,957 人",○,4 - 2,オリックス,木田,3:09,札幌ドーム,7月9日(金)
7月10日(土),"34,537 人",○,5 - 2,オリックス,ダルビッシュ,3:05,札幌ドーム,7月10日(土)
7月11日(日),"29,242 人",●,1 - 5,オリックス,ケッペル,2:48,札幌ドーム,7月11日(日)
7月19日(月),"23,456 人",●,3 - 5,ロッテ,ケッペル,3:01,札幌ドーム,7月19日(月)
7月20日(火),"27,656 人",○,12 - 6,ロッテ,木田,2:53,札幌ドーム,7月20日(火)
7月21日(水),"24,446 人",●,2 - 6,ロッテ,八木,3:30,札幌ドーム,7月21日(水)
7月31日(土),"18,753 人",○,9 - 7,西武,武田勝,3:24,帯広,7月31日(土)
8月1日(日),"17,164 人",●,6 - 7,西武,八木,4:02,帯広,8月1日(日)
8月3日(火),"17,158 人",○,13 - 4,ソフトバンク,ケッペル,3:40,旭川,8月3日(火)
8月4日(水),"15,311 人",○,6 - 4,ソフトバンク,木田,2:53,旭川,8月4日(水)
8月6日(金),"30,001 人",○,10 - 4,楽天,ダルビッシュ,3:33,札幌ドーム,8月6日(金)
8月7日(土),"37,871 人",○,8 - 3,楽天,武田勝,3:24,札幌ドーム,8月7日(土)
8月8日(日),"40,280 人",●,1 - 7,楽天,吉川,2:59,札幌ドーム,8月8日(日)
8月17日(火),"31,172 人",●,2 - 3,ロッテ,ケッペル,3:00,東京ドーム,8月17日(火)
8月18日(水),"25,171 人",○,7 - 5,ロッテ,糸数,3:13,東京ドーム,8月18日(水)
8月19日(木),"25,452 人",●,0 - 7,ロッテ,中村,2:51,東京ドーム,8月19日(木)
8月20日(金),"25,735 人",○,5 - 4,西武,ダルビッシュ,3:12,札幌ドーム,8月20日(金)
8月21日(土),"33,775 人",○,5 - 4,西武,増井,2:47,札幌ドーム,8月21日(土)
8月22日(日),"34,781 人",○,4 - 1,西武,武田勝,2:25,札幌ドーム,8月22日(日)
8月31日(火),"19,470 人",●,0 - 2,ソフトバンク,ケッペル,2:49,札幌ドーム,8月31日(火)
9月1日(水),"20,249 人",○,6 - 2,ソフトバンク,糸数,2:47,札幌ドーム,9月1日(水)
9月2日(木),"19,557 人",○,2 - 1,ソフトバンク,武田勝,3:15,札幌ドーム,9月2日(木)
9月14日(火),"20,202 人",●,0 - 9,楽天,中村,3:00,札幌ドーム,9月14日(火)
9月15日(水),"22,740 人",○,7 - 5,楽天,ウルフ,3:35,札幌ドーム,9月15日(水)
9月16日(木),"20,185 人",○,3 - 0,楽天,武田勝,2:49,札幌ドーム,9月16日(木)
9月18日(土),"36,520 人",○,3 - 0,オリックス,ダルビッシュ,3:24,札幌ドーム,9月18日(土)
9月19日(日),"42,002 人",●,0 - 4,オリックス,ケッペル,2:57,札幌ドーム,9月19日(日)
9月20日(月),"32,625 人",○,3 - 2,オリックス,糸数,3:16,札幌ドーム,9月20日(月)
9月21日(火),"22,591 人",○,4 - 3,オリックス,ウルフ,3:53,札幌ドーム,9月21日(火)
9月22日(水),"27,940 人",●,1 - 3,楽天,武田勝,3:02,札幌ドーム,9月22日(水)
9月25日(土),"42,002 人",●,0 - 1,ソフトバンク,ダルビッシュ,2:55,札幌ドーム,9月25日(土)
9月26日(日),"42,002 人",○,4 - 3,西武,ケッペル,3:43,札幌ドーム,9月26日(日)
