日付,観客数,勝敗,スコア,対戦相手,先発投手,試合時間,球場,日付
5月26日(木),"10,737 人",●,1 - 2,ロッテ,加藤,3:31,函館,5月26日(木)
5月31日(火),"19,772 人",●,4 - 8,ヤクルト,有原,3:20,札幌ドーム,5月31日(火)
6月1日(水),"20,892 人",○,5 - 2,ヤクルト,バース,3:33,札幌ドーム,6月1日(水)
6月2日(木),"22,647 人",○,8 - 6,ヤクルト,加藤,4:03,札幌ドーム,6月2日(木)
6月7日(火),"16,127 人",●,2 - 3,広島,有原,3:10,旭川,6月7日(火)
6月8日(水),"21,928 人",○,4 - 2,広島,高梨,3:13,札幌ドーム,6月8日(水)
6月9日(木),"19,577 人",●,2 - 4,広島,バース,3:25,札幌ドーム,6月9日(木)
6月10日(金),"27,852 人",○,5 - 4,阪神,メンドーサ,3:18,札幌ドーム,6月10日(金)
6月11日(土),"38,493 人",●,0 - 3,阪神,吉川,2:58,札幌ドーム,6月11日(土)
6月12日(日),"40,065 人",○,6 - 0,阪神,大谷,2:49,札幌ドーム,6月12日(日)
6月27日(月),"24,725 人",○,8 - 7,西武,メンドーサ,3:33,札幌ドーム,6月27日(月)
6月28日(火),"23,200 人",○,3 - 0,西武,吉川,2:53,札幌ドーム,6月28日(火)
6月29日(水),"22,903 人",○,5 - 3,西武,斎藤佑樹,3:28,札幌ドーム,6月29日(水)
7月8日(金),"28,276 人",○,12 - 3,ロッテ,高梨,2:56,札幌ドーム,7月8日(金)
7月9日(土),"29,335 人",○,4 - 0,ロッテ,有原,2:40,札幌ドーム,7月9日(土)
7月10日(日),"40,079 人",○,6 - 5,ロッテ,大谷,5:10,札幌ドーム,7月10日(日)
7月18日(月),"24,989 人",○,3 - 1,楽天,メンドーサ,2:56,札幌ドーム,7月18日(月)
7月20日(水),"12,294 人",○,9 - 3,楽天,吉川,3:42,帯広,7月20日(水)
7月22日(金),"22,504 人",○,2 - 0,オリックス,有原,2:58,札幌ドーム,7月22日(金)
7月23日(土),"31,506 人",○,6 - 3,オリックス,高梨,2:59,札幌ドーム,7月23日(土)
7月24日(日),"36,692 人",●,2 - 3,オリックス,加藤,3:21,札幌ドーム,7月24日(日)
7月29日(金),"26,452 人",●,4 - 6,ソフトバンク,有原,3:27,札幌ドーム,7月29日(金)
7月30日(土),"31,226 人",○,3 - 2,ソフトバンク,高梨,3:47,札幌ドーム,7月30日(土)
7月31日(日),"41,138 人",○,6 - 3,ソフトバンク,加藤,3:16,札幌ドーム,7月31日(日)
8月9日(火),"22,705 人",●,1 - 3,西武,バース,3:01,札幌ドーム,8月9日(火)
8月10日(水),"23,584 人",○,4 - 3,西武,新垣,4:32,札幌ドーム,8月10日(水)
8月11日(木),"36,246 人",●,0 - 2,西武,増井,2:49,札幌ドーム,8月11日(木)
8月16日(火),"25,643 人",○,3 - 2,オリックス,バース,3:06,札幌ドーム,8月16日(火)
8月17日(水),"20,652 人",○,4 - 2,オリックス,吉川,3:09,札幌ドーム,8月17日(水)
8月18日(木),"23,826 人",○,6 - 1,オリックス,増井,2:56,札幌ドーム,8月18日(木)
8月19日(金),"37,696 人",●,0 - 3,ソフトバンク,有原,3:00,札幌ドーム,8月19日(金)
8月20日(土),"40,165 人",●,2 - 3,ソフトバンク,高梨,3:23,札幌ドーム,8月20日(土)
8月21日(日),"40,165 人",○,4 - 2,ソフトバンク,加藤,3:46,札幌ドーム,8月21日(日)
8月30日(火),"40,897 人",●,2 - 9,楽天,バース,3:43,東京ドーム,8月30日(火)
8月31日(水),"31,227 人",●,4 - 13,楽天,メンドーサ,3:55,東京ドーム,8月31日(水)
9月1日(木),"24,854 人",○,8 - 0,楽天,増井,3:00,東京ドーム,9月1日(木)
9月6日(火),,-,中止,ロッテ,,,旭川,9月6日(火)
9月7日(水),"30,311 人",△,4 - 4,ロッテ,大谷,4:49,札幌ドーム,9月7日(水)
9月13日(火),"28,430 人",○,4 - 2,オリックス,大谷,3:08,札幌ドーム,9月13日(火)
9月14日(水),"26,615 人",●,1 - 11,オリックス,有原,3:31,札幌ドーム,9月14日(水)
9月15日(木),"26,281 人",●,1 - 5,オリックス,メンドーサ,2:43,札幌ドーム,9月15日(木)
9月17日(土),"39,103 人",○,14 - 6,ロッテ,増井,3:36,札幌ドーム,9月17日(土)
9月18日(日),"41,138 人",○,4 - 2,ロッテ,高梨,2:55,札幌ドーム,9月18日(日)
9月19日(月),"36,823 人",○,3 - 1,ロッテ,加藤,2:54,札幌ドーム,9月19日(月)
9月23日(金),"30,260 人",●,2 - 4,楽天,メンドーサ,3:02,札幌ドーム,9月23日(金)
9月24日(土),"40,827 人",○,4 - 1,楽天,増井,3:22,札幌ドーム,9月24日(土)
9月25日(日),"41,138 人",○,2 - 1,楽天,高梨,3:48,札幌ドーム,9月25日(日)
9月30日(金),"41,138 人",○,3 - 1,ロッテ,武田勝,2:20,札幌ドーム,9月30日(金)
