日付,観客数,勝敗,スコア,対戦相手,先発投手,試合時間,球場,日付
3月29日(火),"41,138 人",○,13 - 3,オリックス,吉川,3:16,札幌ドーム,3月29日(火)
3月30日(水),"37,269 人",●,4 - 5,オリックス,バース,3:42,札幌ドーム,3月30日(水)
4月1日(金),"21,656 人",○,4 - 3,ソフトバンク,大谷,3:30,静岡,4月1日(金)
4月2日(土),"34,484 人",●,3 - 4,ソフトバンク,メンドーサ,2:55,東京ドーム,4月2日(土)
4月3日(日),"32,554 人",○,4 - 3,ソフトバンク,有原,3:14,東京ドーム,4月3日(日)
4月15日(金),"17,679 人",○,13 - 3,ロッテ,メンドーサ,2:51,札幌ドーム,4月15日(金)
4月16日(土),"41,138 人",○,8 - 2,ロッテ,加藤,2:49,札幌ドーム,4月16日(土)
4月17日(日),"37,365 人",●,3 - 5,ロッテ,大谷,3:32,札幌ドーム,4月17日(日)
4月19日(火),"18,026 人",○,1 - 0,西武,吉川,2:32,札幌ドーム,4月19日(火)
4月20日(水),"19,209 人",●,2 - 9,西武,中村,3:03,札幌ドーム,4月20日(水)
4月21日(木),"18,726 人",○,4 - 3,西武,バース,2:46,札幌ドーム,4月21日(木)
4月26日(火),"16,191 人",○,3 - 1,楽天,有原,2:48,札幌ドーム,4月26日(火)
4月27日(水),"18,796 人",○,7 - 6,楽天,吉川,3:27,札幌ドーム,4月27日(水)
5月3日(火),"41,138 人",●,4 - 5,ソフトバンク,有原,4:10,札幌ドーム,5月3日(火)
5月4日(水),"41,138 人",△,6 - 6,ソフトバンク,吉川,4:45,札幌ドーム,5月4日(水)
5月5日(木),"41,138 人",●,1 - 2,ソフトバンク,加藤,3:01,札幌ドーム,5月5日(木)
5月10日(火),"21,801 人",○,4 - 0,オリックス,有原,2:46,東京ドーム,5月10日(火)
5月11日(水),"26,145 人",○,6 - 2,オリックス,吉川,3:16,東京ドーム,5月11日(水)
5月13日(金),"17,407 人",○,5 - 4,西武,メンドーサ,3:26,札幌ドーム,5月13日(金)
5月14日(土),"41,138 人",○,7 - 3,西武,バース,3:14,札幌ドーム,5月14日(土)
5月15日(日),"31,614 人",●,3 - 6,西武,大谷,3:42,札幌ドーム,5月15日(日)
5月21日(土),"29,399 人",○,5 - 1,楽天,メンドーサ,3:08,札幌ドーム,5月21日(土)
5月22日(日),"32,881 人",○,8 - 0,楽天,大谷,3:11,札幌ドーム,5月22日(日)
5月24日(火),"17,818 人",●,1 - 3,ロッテ,有原,2:51,札幌ドーム,5月24日(火)
