日付,観客数,勝敗,スコア,対戦相手,先発投手,試合時間,球場,日付
3月28日(金),"31,369 人",○,6 - 5,オリックス,吉川,5:02,札幌ドーム,3月28日(金)
3月29日(土),"29,413 人",●,0 - 5,オリックス,斎藤佑,2:53,札幌ドーム,3月29日(土)
3月30日(日),"26,549 人",○,8 - 4,オリックス,武田勝,3:35,札幌ドーム,3月30日(日)
4月8日(火),"17,840 人",●,7 - 11,楽天,メンドーサ,3:56,札幌ドーム,4月8日(火)
4月9日(水),"15,926 人",○,5 - 2,楽天,上沢,3:36,札幌ドーム,4月9日(水)
4月10日(木),"15,131 人",○,5 - 3,楽天,斎藤佑,3:20,札幌ドーム,4月10日(木)
4月11日(金),"13,278 人",●,2 - 5,西武,吉川,2:32,札幌ドーム,4月11日(金)
4月12日(土),"27,002 人",○,3 - 2,西武,大谷,3:46,札幌ドーム,4月12日(土)
4月13日(日),"22,669 人",○,4 - 3,西武,浦野,3:08,札幌ドーム,4月13日(日)
4月22日(火),"23,311 人",●,1 - 2,ソフトバンク,メンドーサ,3:04,東京ドーム,4月22日(火)
4月23日(水),"23,212 人",○,10 - 6,ソフトバンク,浦野,3:30,東京ドーム,4月23日(水)
4月25日(金),"14,927 人",●,1 - 9,ロッテ,上沢,3:07,札幌ドーム,4月25日(金)
4月26日(土),"24,433 人",●,1 - 3,ロッテ,武田勝,2:58,札幌ドーム,4月26日(土)
4月27日(日),"25,222 人",●,1 - 5,ロッテ,大谷,2:36,札幌ドーム,4月27日(日)
5月2日(金),"17,175 人",○,4 - 1,オリックス,上沢,2:51,札幌ドーム,5月2日(金)
5月3日(土),"29,676 人",○,8 - 2,オリックス,武田勝,3:15,札幌ドーム,5月3日(土)
5月4日(日),"36,069 人",○,5 - 4,オリックス,大谷,3:13,札幌ドーム,5月4日(日)
5月13日(火),"11,627 人",○,3 - 0,西武,大谷,2:30,函館,5月13日(火)
5月15日(木),"19,510 人",○,6 - 4,西武,上沢,2:59,札幌ドーム,5月15日(木)
5月16日(金),"16,036 人",○,11 - 1,ロッテ,中村,3:00,札幌ドーム,5月16日(金)
5月17日(土),"23,159 人",○,2 - 1,ロッテ,浦野,4:08,札幌ドーム,5月17日(土)
5月18日(日),"20,166 人",●,3 - 4,ロッテ,メンドーサ,3:03,札幌ドーム,5月18日(日)
5月20日(火),"24,608 人",○,7 - 5,中日,大谷,3:13,札幌ドーム,5月20日(火)
5月21日(水),"18,749 人",●,3 - 4,中日,武田勝,3:22,札幌ドーム,5月21日(水)
5月23日(金),"15,721 人",●,0 - 5,DeNA,上沢,2:57,札幌ドーム,5月23日(金)
5月24日(土),"26,332 人",○,8 - 0,DeNA,中村,3:00,札幌ドーム,5月24日(土)
5月31日(土),"34,379 人",○,3 - 1,阪神,メンドーサ,3:08,札幌ドーム,5月31日(土)
6月1日(日),"31,106 人",●,1 - 4,阪神,上沢,2:54,札幌ドーム,6月1日(日)
6月3日(火),"24,528 人",○,10 - 2,広島,中村,3:18,札幌ドーム,6月3日(火)
6月4日(水),"27,687 人",○,6 - 2,広島,大谷,2:46,札幌ドーム,6月4日(水)
6月11日(水),"30,477 人",●,1 - 2,巨人,大谷,3:26,札幌ドーム,6月11日(水)
6月12日(木),"27,438 人",●,2 - 11,巨人,浦野,3:22,札幌ドーム,6月12日(木)
6月14日(土),"22,383 人",○,7 - 6,ヤクルト,中村,4:02,札幌ドーム,6月14日(土)
6月15日(日),"22,401 人",●,2 - 3,ヤクルト,メンドーサ,3:13,札幌ドーム,6月15日(日)
6月27日(金),"23,983 人",●,2 - 7,楽天,メンドーサ,3:30,札幌ドーム,6月27日(金)
6月28日(土),"22,600 人",○,2 - 1,楽天,中村,3:05,札幌ドーム,6月28日(土)
6月29日(日),"25,806 人",●,2 - 3,楽天,浦野,3:08,札幌ドーム,6月29日(日)
7月11日(金),"41,208 人",●,2 - 12,ソフトバンク,浦野,3:20,札幌ドーム,7月11日(金)
7月12日(土),"41,208 人",●,2 - 4,ソフトバンク,斎藤佑,3:24,札幌ドーム,7月12日(土)
7月13日(日),"41,208 人",○,5 - 1,ソフトバンク,中村,3:47,札幌ドーム,7月13日(日)
7月15日(火),"16,820 人",●,2 - 3,西武,木佐貫,2:46,旭川,7月15日(火)
7月16日(水),"20,320 人",○,3 - 1,西武,大谷,3:28,旭川,7月16日(水)
8月1日(金),"25,227 人",○,5 - 2,ソフトバンク,吉川,3:15,札幌ドーム,8月1日(金)
8月2日(土),"41,208 人",●,3 - 8,ソフトバンク,メンドーサ,5:27,札幌ドーム,8月2日(土)
8月3日(日),"41,208 人",●,1 - 3,ソフトバンク,大谷,3:49,札幌ドーム,8月3日(日)
8月5日(火),"16,441 人",●,3 - 4,オリックス,浦野,3:31,帯広,8月5日(火)
8月6日(水),"13,537 人",●,2 - 5,オリックス,上沢,3:59,帯広,8月6日(水)
8月12日(火),"22,809 人",○,5 - 2,ロッテ,中村,2:44,札幌ドーム,8月12日(火)
8月13日(水),"23,874 人",○,4 - 1,ロッテ,浦野,2:45,札幌ドーム,8月13日(水)
8月14日(木),"25,446 人",○,11 - 7,ロッテ,斎藤佑,3:41,札幌ドーム,8月14日(木)
8月19日(火),,-,中止,楽天,,,旭川,8月19日(火)
8月20日(水),"16,942 人",○,6 - 4,楽天,中村,3:28,旭川,8月20日(水)
8月21日(木),"23,153 人",○,9 - 5,楽天,浦野,3:19,札幌ドーム,8月21日(木)
8月22日(金),"21,297 人",●,1 - 11,西武,メンドーサ,3:13,札幌ドーム,8月22日(金)
8月23日(土),"39,444 人",○,8 - 5,西武,吉川,3:35,札幌ドーム,8月23日(土)
8月24日(日),"30,574 人",○,4 - 3,西武,上沢,3:08,札幌ドーム,8月24日(日)
8月29日(金),"29,428 人",○,8 - 3,ロッテ,浦野,3:04,東京ドーム,8月29日(金)
8月30日(土),"37,045 人",○,4 - 3,ロッテ,吉川,3:16,東京ドーム,8月30日(土)
8月31日(日),"35,609 人",●,1 - 2,ロッテ,上沢,3:40,東京ドーム,8月31日(日)
9月2日(火),"21,444 人",●,4 - 7,楽天,中村,4:01,札幌ドーム,9月2日(火)
9月3日(水),"22,955 人",●,1 - 3,楽天,大谷,3:12,札幌ドーム,9月3日(水)
9月9日(火),"19,603 人",○,10 - 2,ソフトバンク,中村,3:34,東京ドーム,9月9日(火)
9月10日(水),"23,790 人",●,1 - 2,ソフトバンク,木佐貫,3:33,東京ドーム,9月10日(水)
9月11日(木),"26,680 人",○,7 - 2,ソフトバンク,メンドーサ,2:51,東京ドーム,9月11日(木)
9月13日(土),"34,675 人",○,1 - 0,オリックス,大谷,3:02,札幌ドーム,9月13日(土)
9月14日(日),"38,559 人",●,2 - 7,オリックス,浦野,3:59,札幌ドーム,9月14日(日)
9月15日(月),"34,604 人",○,5 - 0,オリックス,上沢,3:09,札幌ドーム,9月15日(月)
9月27日(土),"37,837 人",○,3 - 2,オリックス,上沢,3:56,札幌ドーム,9月27日(土)
9月28日(日),"34,343 人",○,6 - 4,ソフトバンク,中村,3:17,札幌ドーム,9月28日(日)
9月29日(月),"25,597 人",○,4 - 1,西武,斎藤佑,3:17,札幌ドーム,9月29日(月)
9月30日(火),"33,143 人",○,4 - 3,西武,メンドーサ,3:36,札幌ドーム,9月30日(火)
10月1日(水),"37,447 人",○,8 - 1,楽天,吉川,3:05,札幌ドーム,10月1日(水)
10月5日(日),"41,208 人",○,1 - 0,楽天,大谷,2:26,札幌ドーム,10月5日(日)
