日付,観客数,勝敗,スコア,対戦相手,先発投手,試合時間,球場,日付
7月12日(金),"20,089 人",●,1 - 4,ロッテ,吉川,3:26,札幌ドーム,7月12日(金)
7月13日(土),"23,541 人",●,3 - 7,ロッテ,木佐貫,3:20,札幌ドーム,7月13日(土)
7月14日(日),"32,716 人",○,7 - 2,ロッテ,ケッペル,2:27,札幌ドーム,7月14日(日)
7月15日(月),"24,130 人",○,14 - 3,西武,武田勝,3:00,札幌ドーム,7月15日(月)
7月17日(水),"19,722 人",●,3 - 4,西武,谷元,3:12,函館,7月17日(水)
8月2日(金),"28,659 人",●,1 - 4,楽天,ウルフ,3:23,札幌ドーム,8月2日(金)
8月3日(土),"36,535 人",●,0 - 3,楽天,武田勝,3:36,札幌ドーム,8月3日(土)
8月4日(日),"27,592 人",●,4 - 14,楽天,吉川,3:50,札幌ドーム,8月4日(日)
8月9日(金),"24,161 人",●,0 - 2,ロッテ,ケッペル,2:40,札幌ドーム,8月9日(金)
8月10日(土),"34,965 人",○,3 - 2,ロッテ,武田勝,3:29,札幌ドーム,8月10日(土)
8月11日(日),"28,981 人",●,1 - 5,ロッテ,吉川,3:17,札幌ドーム,8月11日(日)
8月13日(火),"20,894 人",○,4 - 2,オリックス,木佐貫,3:18,旭川,8月13日(火)
8月14日(水),"18,717 人",○,2 - 1,オリックス,ウルフ,3:20,旭川,8月14日(水)
8月17日(土),"22,486 人",○,10 - 3,ソフトバンク,ケッペル,3:26,帯広,8月17日(土)
8月18日(日),"20,483 人",●,2 - 7,ソフトバンク,吉川,3:55,帯広,8月18日(日)
8月27日(火),"29,165 人",●,3 - 4,西武,木佐貫,3:16,札幌ドーム,8月27日(火)
8月28日(水),"20,182 人",●,1 - 2,西武,武田勝,3:39,札幌ドーム,8月28日(水)
8月29日(木),"19,500 人",○,1 - 0,西武,ウルフ,2:49,札幌ドーム,8月29日(木)
9月3日(火),"26,155 人",○,3 - 2,ソフトバンク,木佐貫,3:23,東京ドーム,9月3日(火)
9月4日(水),"25,885 人",●,6 - 9,ソフトバンク,武田勝,6:01,東京ドーム,9月4日(水)
9月5日(木),"23,750 人",○,11 - 5,ソフトバンク,ウルフ,4:01,東京ドーム,9月5日(木)
9月10日(火),"23,891 人",○,6 - 5,オリックス,木佐貫,3:53,札幌ドーム,9月10日(火)
9月11日(水),"17,557 人",○,1 - 0,オリックス,武田勝,3:07,札幌ドーム,9月11日(水)
9月12日(木),"16,927 人",○,2 - 1,オリックス,ウルフ,3:44,札幌ドーム,9月12日(木)
9月21日(土),"37,992 人",●,3 - 7,楽天,吉川,3:21,札幌ドーム,9月21日(土)
9月22日(日),"41,071 人",●,1 - 15,楽天,ケッペル,3:52,札幌ドーム,9月22日(日)
9月23日(月),"27,535 人",●,0 - 5,楽天,木佐貫,3:00,札幌ドーム,9月23日(月)
9月24日(火),"14,586 人",●,3 - 4,ロッテ,武田勝,3:11,札幌ドーム,9月24日(火)
9月25日(水),"19,095 人",○,10 - 7,ロッテ,ウルフ,3:23,札幌ドーム,9月25日(水)
9月26日(木),"17,255 人",○,6 - 5,ロッテ,大谷,3:28,札幌ドーム,9月26日(木)
10月1日(火),"24,661 人",●,2 - 11,楽天,トーマス,3:39,札幌ドーム,10月1日(火)
10月2日(水),"22,488 人",●,1 - 7,オリックス,斎藤佑,3:40,札幌ドーム,10月2日(水)
10月4日(金),"23,196 人",○,5 - 4,ソフトバンク,大谷,3:35,札幌ドーム,10月4日(金)
10月5日(土),"26,634 人",●,0 - 3,ソフトバンク,木佐貫,2:45,札幌ドーム,10月5日(土)
10月6日(日),"39,350 人",●,3 - 4,西武,吉川,3:31,札幌ドーム,10月6日(日)
