日付,観客数,勝敗,スコア,対戦相手,先発投手,試合時間,球場,日付
4月5日(金),"33,769 人",●,1 - 6,ソフトバンク,中村,2:57,札幌ドーム,4月5日(金)
4月6日(土),"31,372 人",●,0 - 6,ソフトバンク,ウルフ,3:07,札幌ドーム,4月6日(土)
4月7日(日),"26,809 人",○,3 - 2,ソフトバンク,谷元,3:21,札幌ドーム,4月7日(日)
4月9日(火),"20,072 人",●,1 - 9,楽天,新垣,3:22,東京ドーム,4月9日(火)
4月10日(水),"17,618 人",○,6 - 0,楽天,吉川,2:43,東京ドーム,4月10日(水)
4月11日(木),"16,573 人",○,4 - 1,楽天,木佐貫,2:56,東京ドーム,4月11日(木)
4月16日(火),"22,625 人",●,3 - 11,ロッテ,多田野,3:28,札幌ドーム,4月16日(火)
4月17日(水),"18,969 人",○,3 - 2,ロッテ,吉川,3:19,札幌ドーム,4月17日(水)
4月18日(木),"18,653 人",●,1 - 5,ロッテ,木佐貫,3:27,札幌ドーム,4月18日(木)
4月19日(金),"22,944 人",●,2 - 7,西武,中村,3:04,札幌ドーム,4月19日(金)
4月20日(土),"20,124 人",○,4 - 0,西武,ウルフ,2:58,札幌ドーム,4月20日(土)
4月21日(日),"20,397 人",●,0 - 11,西武,谷元,3:25,札幌ドーム,4月21日(日)
4月27日(土),"30,119 人",○,2 - 1,オリックス,ウルフ,3:20,札幌ドーム,4月27日(土)
4月28日(日),"36,848 人",○,4 - 3,オリックス,武田勝,3:08,札幌ドーム,4月28日(日)
4月29日(月),"27,665 人",●,3 - 12,オリックス,中村,3:20,札幌ドーム,4月29日(月)
5月8日(水),"24,129 人",●,2 - 5,楽天,木佐貫,2:56,札幌ドーム,5月8日(水)
5月9日(木),"19,333 人",●,2 - 6,楽天,吉川,3:05,札幌ドーム,5月9日(木)
5月19日(日),"37,688 人",○,7 - 3,巨人,武田勝,2:43,札幌ドーム,5月19日(日)
5月20日(月),"27,231 人",○,2 - 1,巨人,木佐貫,2:41,札幌ドーム,5月20日(月)
5月22日(水),"25,874 人",○,6 - 1,ヤクルト,吉川,3:10,札幌ドーム,5月22日(水)
5月23日(木),"36,608 人",△,3 - 3,ヤクルト,大谷,4:34,札幌ドーム,5月23日(木)
5月31日(金),"22,868 人",●,4 - 5,中日,ウルフ,3:42,札幌ドーム,5月31日(金)
6月1日(土),"26,423 人",○,7 - 3,中日,大谷,3:02,札幌ドーム,6月1日(土)
6月2日(日),"24,274 人",●,3 - 11,DeNA,武田勝,3:17,旭川,6月2日(日)
6月3日(月),"15,555 人",○,7 - 1,DeNA,谷元,3:03,旭川,6月3日(月)
6月12日(水),"25,905 人",●,1 - 6,阪神,吉川,2:58,札幌ドーム,6月12日(水)
6月13日(木),"22,093 人",○,3 - 0,阪神,木佐貫,2:27,札幌ドーム,6月13日(木)
6月15日(土),"31,072 人",○,5 - 1,広島,ウルフ,2:43,札幌ドーム,6月15日(土)
6月16日(日),"31,604 人",○,3 - 2,広島,武田勝,3:11,札幌ドーム,6月16日(日)
6月25日(火),"21,836 人",○,4 - 2,ソフトバンク,ウルフ,3:02,東京ドーム,6月25日(火)
6月26日(水),"40,210 人",○,6 - 5,ソフトバンク,大谷,3:56,東京ドーム,6月26日(水)
6月28日(金),"27,647 人",○,2 - 1,西武,吉川,2:52,札幌ドーム,6月28日(金)
6月29日(土),"37,271 人",○,9 - 1,西武,木佐貫,2:48,札幌ドーム,6月29日(土)
6月30日(日),"26,134 人",●,4 - 8,西武,谷元,3:28,札幌ドーム,6月30日(日)
7月5日(金),"37,946 人",●,1 - 5,オリックス,吉川,3:45,札幌ドーム,7月5日(金)
7月6日(土),"26,630 人",●,0 - 4,オリックス,木佐貫,3:14,札幌ドーム,7月6日(土)
7月7日(日),"22,221 人",○,6 - 1,オリックス,中村,3:28,札幌ドーム,7月7日(日)
