日付,観客数,勝敗,スコア,対戦相手,先発投手,試合時間,球場,日付
8月14日(金),"34,095 人",○,3 - 2,西武,ダルビッシュ,3:17,札幌ドーム,8月14日(金)
8月15日(土),"33,567 人",○,2 - 0,西武,藤井,3:19,札幌ドーム,8月15日(土)
8月16日(日),"30,399 人",○,7 - 6,西武,武田勝,4:02,札幌ドーム,8月16日(日)
8月18日(火),"15,105 人",●,3 - 6,楽天,八木,2:47,旭川,8月18日(火)
8月19日(水),,-,中止,楽天,,,旭川,8月19日(水)
8月20日(木),"24,010 人",●,1 - 4,楽天,多田野,2:56,札幌ドーム,8月20日(木)
8月28日(金),"23,402 人",○,3 - 1,ソフトバンク,藤井,3:18,札幌ドーム,8月28日(金)
8月29日(土),"29,648 人",○,5 - 3,ソフトバンク,武田勝,3:34,札幌ドーム,8月29日(土)
8月30日(日),"28,483 人",●,2 - 3,ソフトバンク,八木,3:26,札幌ドーム,8月30日(日)
9月11日(金),"29,449 人",●,2 - 3,ロッテ,藤井,3:12,札幌ドーム,9月11日(金)
9月12日(土),"38,307 人",●,2 - 4,ロッテ,八木,2:48,札幌ドーム,9月12日(土)
9月13日(日),"42,069 人",○,3 - 1,ロッテ,ダルビッシュ,2:25,札幌ドーム,9月13日(日)
9月15日(火),"20,351 人",○,5 - 2,楽天,武田勝,2:54,札幌ドーム,9月15日(火)
9月16日(水),"20,446 人",●,3 - 7,楽天,スウィーニー,3:48,札幌ドーム,9月16日(水)
9月17日(木),"21,636 人",○,5 - 4,楽天,藤井,3:47,札幌ドーム,9月17日(木)
9月21日(月),"38,165 人",●,3 - 5,西武,武田勝,2:59,札幌ドーム,9月21日(月)
9月22日(火),"34,214 人",●,2 - 5,西武,スウィーニー,2:58,札幌ドーム,9月22日(火)
9月23日(水),"26,955 人",●,1 - 6,西武,吉川,3:00,札幌ドーム,9月23日(水)
9月29日(火),"19,576 人",○,12 - 3,オリックス,スウィーニー,3:10,札幌ドーム,9月29日(火)
9月30日(水),"17,352 人",○,3 - 2,オリックス,糸数,2:47,札幌ドーム,9月30日(水)
10月1日(木),"19,784 人",●,5 - 6,オリックス,藤井,3:40,札幌ドーム,10月1日(木)
10月3日(土),"34,228 人",○,11 - 1,ロッテ,八木,2:44,札幌ドーム,10月3日(土)
10月4日(日),"41,698 人",○,4 - 2,ソフトバンク,武田勝,3:03,札幌ドーム,10月4日(日)
10月5日(月),"41,999 人",●,5 - 10,西武,スウィーニー,3:45,札幌ドーム,10月5日(月)
10月6日(火),"35,442 人",○,5 - 4,西武,糸数,4:14,札幌ドーム,10月6日(火)
10月7日(水),"17,623 人",○,8 - 3,西武,藤井,3:05,札幌ドーム,10月7日(水)
10月10日(土),"36,257 人",○,7 - 1,楽天,武田勝,2:55,札幌ドーム,10月10日(土)
