日付,観客数,勝敗,スコア,対戦相手,先発投手,試合時間,球場,日付
4月3日(金),"42,328 人",●,1 - 3,楽天,ダルビッシュ,2:32,札幌ドーム,4月3日(金)
4月4日(土),"36,316 人",●,5 - 6,楽天,藤井,3:32,札幌ドーム,4月4日(土)
4月5日(日),"34,252 人",●,6 - 9,楽天,スウィーニー,5:01,札幌ドーム,4月5日(日)
4月7日(火),"17,568 人",○,9 - 1,ロッテ,多田野,2:40,東京ドーム,4月7日(火)
4月8日(水),"18,853 人",○,8 - 7,ロッテ,榊原,3:20,東京ドーム,4月8日(水)
4月14日(火),"17,548 人",●,7 - 8,オリックス,多田野,3:24,札幌ドーム,4月14日(火)
4月15日(水),"17,579 人",○,11 - 5,オリックス,榊原,3:38,札幌ドーム,4月15日(水)
4月16日(木),"20,702 人",○,7 - 1,オリックス,武田勝,2:47,札幌ドーム,4月16日(木)
4月21日(火),"17,486 人",●,5 - 10,ソフトバンク,多田野,3:45,東京ドーム,4月21日(火)
4月22日(水),"19,138 人",●,2 - 3,ソフトバンク,八木,3:04,東京ドーム,4月22日(水)
4月23日(木),"18,364 人",○,7 - 6,ソフトバンク,武田勝,3:42,東京ドーム,4月23日(木)
5月1日(金),"28,007 人",●,1 - 2,西武,ダルビッシュ,4:30,札幌ドーム,5月1日(金)
5月2日(土),"34,711 人",○,7 - 6,西武,藤井,4:17,札幌ドーム,5月2日(土)
5月3日(日),"40,754 人",○,6 - 5,西武,榊原,4:11,札幌ドーム,5月3日(日)
5月8日(金),"26,638 人",○,10 - 1,オリックス,ダルビッシュ,3:20,札幌ドーム,5月8日(金)
5月9日(土),"26,308 人",○,3 - 2,オリックス,藤井,3:43,札幌ドーム,5月9日(土)
5月10日(日),"28,156 人",○,7 - 2,オリックス,武田勝,3:08,札幌ドーム,5月10日(日)
5月19日(火),"33,050 人",○,16 - 6,巨人,八木,3:19,札幌ドーム,5月19日(火)
5月20日(水),"33,602 人",○,6 - 5,巨人,スウィーニー,3:16,札幌ドーム,5月20日(水)
5月22日(金),"20,932 人",●,2 - 3,ヤクルト,藤井,2:57,札幌ドーム,5月22日(金)
5月23日(土),"31,288 人",○,3 - 0,ヤクルト,ダルビッシュ,2:48,札幌ドーム,5月23日(土)
5月30日(土),"42,328 人",○,8 - 2,阪神,ダルビッシュ,3:26,札幌ドーム,5月30日(土)
5月31日(日),"42,051 人",△,4 - 4,阪神,武田勝,5:06,札幌ドーム,5月31日(日)
6月2日(火),"20,252 人",●,1 - 2,広島,糸数,2:36,札幌ドーム,6月2日(火)
6月3日(水),"22,257 人",○,7 - 2,広島,スウィーニー,2:57,札幌ドーム,6月3日(水)
6月10日(水),"10,977 人",○,5 - 3,横浜,八木,2:56,札幌円山,6月10日(水)
6月11日(木),"22,582 人",○,9 - 3,横浜,スウィーニー,3:16,札幌ドーム,6月11日(木)
6月13日(土),"35,699 人",○,9 - 1,中日,ダルビッシュ,3:24,札幌ドーム,6月13日(土)
6月14日(日),"33,086 人",●,10 - 11,中日,糸数,3:49,札幌ドーム,6月14日(日)
6月30日(火),"23,248 人",○,3 - 1,楽天,糸数,3:16,札幌ドーム,6月30日(火)
7月1日(水),"23,374 人",○,10 - 5,楽天,武田勝,3:11,札幌ドーム,7月1日(水)
7月2日(木),"25,442 人",○,6 - 3,楽天,ダルビッシュ,3:46,札幌ドーム,7月2日(木)
7月4日(土),"18,086 人",●,3 - 7,ソフトバンク,八木,2:51,函館,7月4日(土)
7月5日(日),"18,660 人",●,2 - 3,ソフトバンク,スウィーニー,3:28,函館,7月5日(日)
7月10日(金),"25,690 人",○,4 - 0,ロッテ,多田野,2:13,札幌ドーム,7月10日(金)
7月11日(土),"37,116 人",○,6 - 5,ロッテ,八木,3:09,札幌ドーム,7月11日(土)
7月12日(日),"34,764 人",○,7 - 6,ロッテ,スウィーニー,4:59,札幌ドーム,7月12日(日)
7月18日(土),,-,中止,西武,,,釧路,7月18日(土)
7月19日(日),,-,中止,西武,,,帯広,7月19日(日)
7月20日(月),"22,004 人",○,4 - 3,ロッテ,藤井,2:55,札幌ドーム,7月20日(月)
7月21日(火),"18,742 人",○,7 - 3,ロッテ,多田野,3:05,札幌ドーム,7月21日(火)
7月22日(水),"23,547 人",○,2 - 1,ロッテ,ダルビッシュ,2:19,札幌ドーム,7月22日(水)
7月31日(金),"29,525 人",○,5 - 1,ソフトバンク,ダルビッシュ,2:54,札幌ドーム,7月31日(金)
8月1日(土),"33,543 人",●,1 - 2,ソフトバンク,藤井,3:04,札幌ドーム,8月1日(土)
8月2日(日),"35,639 人",○,7 - 1,ソフトバンク,武田勝,2:51,札幌ドーム,8月2日(日)
8月11日(火),"20,013 人",○,4 - 3,オリックス,八木,4:04,東京ドーム,8月11日(火)
8月12日(水),"21,884 人",●,2 - 8,オリックス,須永,3:02,東京ドーム,8月12日(水)
8月13日(木),"33,823 人",○,8 - 4,オリックス,スウィーニー,3:35,東京ドーム,8月13日(木)
