日付,観客数,勝敗,スコア,対戦相手,先発投手,試合時間,球場,日付
6月1日(金),"22,146 人",○,13 - 2,中日,高梨,3:05,札幌ドーム,6月1日(金)
6月2日(土),"29,676 人",○,9 - 3,中日,浦野,3:22,札幌ドーム,6月2日(土)
6月3日(日),"31,163 人",●,2 - 5,中日,加藤,3:07,札幌ドーム,6月3日(日)
6月12日(火),"23,696 人",●,5 - 10,阪神,斎藤佑樹,3:21,札幌ドーム,6月12日(火)
6月13日(水),"23,959 人",○,8 - 7,阪神,上沢,3:54,札幌ドーム,6月13日(水)
6月14日(木),"20,996 人",○,11 - 3,阪神,マルティネス,3:31,札幌ドーム,6月14日(木)
6月15日(金),"29,890 人",○,11 - 4,ヤクルト,高梨,3:36,札幌ドーム,6月15日(金)
6月16日(土),"29,533 人",○,2 - 1,ヤクルト,村田,3:14,札幌ドーム,6月16日(土)
6月17日(日),"31,550 人",●,1 - 5,ヤクルト,加藤,3:44,札幌ドーム,6月17日(日)
6月26日(火),"14,885 人",○,5 - 0,ソフトバンク,上沢,2:52,那覇,6月26日(火)
6月27日(水),"16,187 人",○,3 - 2,ソフトバンク,上原,3:50,那覇,6月27日(水)
6月29日(金),"21,920 人",●,1 - 2,オリックス,マルティネス,3:15,札幌ドーム,6月29日(金)
6月30日(土),"38,922 人",○,5 - 2,オリックス,高梨,2:41,札幌ドーム,6月30日(土)
7月1日(日),"28,485 人",●,3 - 6,オリックス,吉田,3:06,札幌ドーム,7月1日(日)
7月3日(火),"27,749 人",●,2 - 5,西武,上沢,3:13,札幌ドーム,7月3日(火)
7月5日(木),,-,中止,西武,,,函館,7月5日(木)
7月20日(金),"29,524 人",○,6 - 5,ソフトバンク,上沢,3:17,札幌ドーム,7月20日(金)
7月21日(土),"36,751 人",○,3 - 2,ソフトバンク,杉浦,3:03,札幌ドーム,7月21日(土)
7月22日(日),"30,927 人",○,7 - 5,ソフトバンク,高梨,3:18,札幌ドーム,7月22日(日)
7月27日(金),"21,393 人",○,13 - 2,オリックス,上沢,3:18,札幌ドーム,7月27日(金)
7月28日(土),"41,138 人",○,3 - 0,オリックス,堀,2:47,札幌ドーム,7月28日(土)
7月29日(日),"25,825 人",●,2 - 8,オリックス,高梨,2:56,札幌ドーム,7月29日(日)
7月31日(火),"12,565 人",○,14 - 1,ロッテ,有原,3:15,釧路,7月31日(火)
8月1日(水),"13,051 人",○,8 - 7,ロッテ,杉浦,3:46,帯広,8月1日(水)
8月7日(火),"25,791 人",△,2 - 2,楽天,有原,4:13,札幌ドーム,8月7日(火)
8月8日(水),"23,017 人",○,2 - 1,楽天,村田,3:18,札幌ドーム,8月8日(水)
8月9日(木),"24,968 人",●,0 - 10,楽天,堀,3:15,札幌ドーム,8月9日(木)
8月14日(火),"30,449 人",●,1 - 3,ロッテ,有原,3:21,札幌ドーム,8月14日(火)
8月15日(水),"23,101 人",○,4 - 1,ロッテ,村田,2:53,札幌ドーム,8月15日(水)
8月16日(木),"22,243 人",●,2 - 6,ロッテ,藤岡,3:24,札幌ドーム,8月16日(木)
8月21日(火),"16,465 人",●,5 - 10,ソフトバンク,有原,3:45,静岡,8月21日(火)
8月22日(水),"41,067 人",●,6 - 9,ソフトバンク,村田,3:43,東京ドーム,8月22日(水)
8月23日(木),"39,577 人",●,2 - 6,ソフトバンク,宮台,3:55,東京ドーム,8月23日(木)
8月24日(金),"27,202 人",○,7 - 1,楽天,堀,3:01,札幌ドーム,8月24日(金)
8月25日(土),"41,138 人",△,3 - 3,楽天,上沢,4:50,札幌ドーム,8月25日(土)
8月26日(日),"37,777 人",○,4 - 2,楽天,マルティネス,3:16,札幌ドーム,8月26日(日)
9月4日(火),"15,072 人",●,3 - 7,西武,堀,3:44,旭川,9月4日(火)
9月5日(水),"13,289 人",○,4 - 0,西武,加藤,2:31,旭川,9月5日(水)
9月11日(火),,-,中止,ロッテ,,,札幌ドーム,9月11日(火)
9月12日(水),,-,中止,ロッテ,,,札幌ドーム,9月12日(水)
9月14日(金),"24,341 人",○,4 - 3,オリックス,ロドリゲス,3:06,札幌ドーム,9月14日(金)
9月15日(土),"36,795 人",●,0 - 10,オリックス,有原,3:11,札幌ドーム,9月15日(土)
9月16日(日),"39,766 人",●,4 - 8,オリックス,マルティネス,3:39,札幌ドーム,9月16日(日)
9月17日(月),"28,123 人",○,4 - 2,オリックス,上沢,2:53,札幌ドーム,9月17日(月)
9月20日(木),"23,745 人",●,7 - 9,ソフトバンク,ロドリゲス,3:59,札幌ドーム,9月20日(木)
9月22日(土),"32,255 人",○,5 - 1,楽天,村田,3:03,札幌ドーム,9月22日(土)
9月30日(日),"27,685 人",○,4 - 1,西武,杉浦,3:17,札幌ドーム,9月30日(日)
10月1日(月),"20,580 人",●,1 - 2,西武,上沢,3:06,札幌ドーム,10月1日(月)
10月2日(火),"22,980 人",●,2 - 3,西武,マルティネス,3:22,札幌ドーム,10月2日(火)
10月3日(水),"28,422 人",●,3 - 7,西武,加藤,3:23,札幌ドーム,10月3日(水)
10月10日(水),"22,572 人",○,5 - 4,ロッテ,ロドリゲス,3:21,札幌ドーム,10月10日(水)
10月11日(木),"25,217 人",○,5 - 4,ロッテ,上原,3:23,札幌ドーム,10月11日(木)
