日付,観客数,勝敗,スコア,対戦相手,先発投手,試合時間,球場,日付
3月30日(金),"38,693 人",●,2 - 11,西武,ロドリゲス,3:05,札幌ドーム,3月30日(金)
3月31日(土),"41,138 人",●,2 - 7,西武,マルティネス,3:15,札幌ドーム,3月31日(土)
4月1日(日),"41,138 人",●,1 - 4,西武,加藤,3:16,札幌ドーム,4月1日(日)
4月6日(金),"23,202 人",○,3 - 2,ロッテ,マルティネス,2:36,東京ドーム,4月6日(金)
4月7日(土),"32,755 人",○,9 - 6,ロッテ,斎藤佑樹,3:45,東京ドーム,4月7日(土)
4月8日(日),"28,347 人",●,2 - 5,ロッテ,加藤,4:22,東京ドーム,4月8日(日)
4月20日(金),"20,786 人",○,2 - 1,ソフトバンク,マルティネス,3:13,札幌ドーム,4月20日(金)
4月21日(土),"34,165 人",●,0 - 10,ソフトバンク,有原,3:08,札幌ドーム,4月21日(土)
4月22日(日),"25,468 人",○,11 - 2,ソフトバンク,加藤,3:06,札幌ドーム,4月22日(日)
4月24日(火),"20,110 人",○,5 - 3,オリックス,上沢,3:30,札幌ドーム,4月24日(火)
4月25日(水),"18,295 人",○,4 - 1,オリックス,高梨,2:22,札幌ドーム,4月25日(水)
4月26日(木),"19,901 人",○,3 - 2,オリックス,マルティネス,3:09,札幌ドーム,4月26日(木)
5月2日(水),"27,661 人",●,0 - 1,楽天,上沢,2:49,札幌ドーム,5月2日(水)
5月3日(木),"36,119 人",○,4 - 1,楽天,高梨,2:55,札幌ドーム,5月3日(木)
5月4日(金),"28,562 人",●,3 - 6,ロッテ,村田,3:04,札幌ドーム,5月4日(金)
5月5日(土),"41,138 人",○,6 - 4,ロッテ,有原,3:08,札幌ドーム,5月5日(土)
5月6日(日),"24,968 人",○,6 - 1,ロッテ,加藤,3:13,札幌ドーム,5月6日(日)
5月15日(火),"28,337 人",○,2 - 0,西武,マルティネス,3:11,東京ドーム,5月15日(火)
5月16日(水),"26,318 人",○,1 - 0,西武,上沢,3:00,東京ドーム,5月16日(水)
5月18日(金),"23,935 人",●,0 - 3,楽天,高梨,2:58,札幌ドーム,5月18日(金)
5月19日(土),"41,138 人",●,0 - 5,楽天,有原,3:08,札幌ドーム,5月19日(土)
5月20日(日),"31,174 人",○,7 - 1,楽天,加藤,2:56,札幌ドーム,5月20日(日)
