日付,観客数,勝敗,スコア,対戦相手,先発投手,試合時間,球場,日付
9月16日(土),"33,348 人",○,6 - 3,オリックス,高梨,2:45,札幌ドーム,9月16日(土)
9月17日(日),"41,138 人",●,2 - 4,オリックス,加藤,3:23,札幌ドーム,9月17日(日)
9月18日(月),"21,006 人",○,7 - 1,オリックス,吉田,2:50,札幌ドーム,9月18日(月)
9月20日(水),"20,078 人",●,1 - 4,ソフトバンク,上沢,3:06,札幌ドーム,9月20日(水)
9月21日(木),"30,363 人",○,6 - 4,ソフトバンク,大谷,3:56,札幌ドーム,9月21日(木)
9月28日(木),"17,868 人",○,4 - 3,楽天,加藤,3:19,札幌ドーム,9月28日(木)
9月29日(金),"24,098 人",●,0 - 3,楽天,堀,3:52,札幌ドーム,9月29日(金)
9月30日(土),"33,954 人",○,4 - 3,西武,有原,2:50,札幌ドーム,9月30日(土)
10月1日(日),"32,145 人",●,0 - 5,西武,上沢,3:00,札幌ドーム,10月1日(日)
10月3日(火),"35,613 人",○,10 - 5,オリックス,高梨,2:55,札幌ドーム,10月3日(火)
10月4日(水),"39,823 人",○,3 - 0,オリックス,大谷,2:32,札幌ドーム,10月4日(水)
