日付,観客数,勝敗,スコア,対戦相手,先発投手,試合時間,球場,日付
3月31日(金),"41,138 人",●,1 - 8,西武,有原,3:00,札幌ドーム,3月31日(金)
4月1日(土),"41,138 人",○,3 - 1,西武,メンドーサ,2:56,札幌ドーム,4月1日(土)
4月2日(日),"41,138 人",●,3 - 6,西武,エスコバー,2:37,札幌ドーム,4月2日(日)
4月11日(火),"29,249 人",●,0 - 3,ソフトバンク,高梨,3:29,札幌ドーム,4月11日(火)
4月12日(水),"25,881 人",○,4 - 3,ソフトバンク,加藤,2:55,札幌ドーム,4月12日(水)
4月13日(木),"25,985 人",○,3 - 2,ソフトバンク,村田,3:04,札幌ドーム,4月13日(木)
4月18日(火),"11,724 人",●,1 - 3,オリックス,高梨,2:54,静岡,4月18日(火)
4月20日(木),"28,286 人",●,4 - 8,オリックス,加藤,3:06,東京ドーム,4月20日(木)
4月29日(土),"41,138 人",○,3 - 2,楽天,有原,3:16,札幌ドーム,4月29日(土)
4月30日(日),"31,098 人",●,1 - 2,楽天,メンドーサ,3:18,札幌ドーム,4月30日(日)
5月2日(火),"26,048 人",○,11 - 0,ロッテ,高梨,2:57,札幌ドーム,5月2日(火)
5月3日(水),"41,138 人",○,2 - 1,ロッテ,村田,2:48,札幌ドーム,5月3日(水)
5月4日(木),"35,403 人",○,6 - 4,ロッテ,加藤,2:56,札幌ドーム,5月4日(木)
5月9日(火),"17,989 人",●,2 - 7,西武,高梨,3:09,札幌ドーム,5月9日(火)
5月10日(水),"18,256 人",○,2 - 1,西武,加藤,2:54,札幌ドーム,5月10日(水)
5月12日(金),"27,865 人",○,15 - 1,ロッテ,浦野,2:58,東京ドーム,5月12日(金)
5月13日(土),"45,102 人",○,11 - 6,ロッテ,有原,3:17,東京ドーム,5月13日(土)
5月14日(日),"37,922 人",○,4 - 2,ロッテ,メンドーサ,3:12,東京ドーム,5月14日(日)
5月19日(金),"17,394 人",○,7 - 2,オリックス,浦野,3:26,札幌ドーム,5月19日(金)
5月20日(土),"26,876 人",○,7 - 3,オリックス,有原,3:29,札幌ドーム,5月20日(土)
5月21日(日),"27,721 人",○,4 - 1,オリックス,メンドーサ,2:55,札幌ドーム,5月21日(日)
5月26日(金),"21,023 人",○,7 - 5,ソフトバンク,浦野,3:32,札幌ドーム,5月26日(金)
5月27日(土),"32,284 人",●,8 - 13,ソフトバンク,有原,4:12,札幌ドーム,5月27日(土)
5月28日(日),"30,236 人",●,1 - 6,ソフトバンク,メンドーサ,2:53,札幌ドーム,5月28日(日)
5月30日(火),"21,166 人",●,0 - 3,DeNA,加藤,2:46,札幌ドーム,5月30日(火)
5月31日(水),"19,872 人",○,6 - 1,DeNA,斎藤佑樹,3:30,札幌ドーム,5月31日(水)
6月1日(木),"18,806 人",○,5 - 3,DeNA,中村,3:06,札幌ドーム,6月1日(木)
6月6日(火),"27,351 人",●,3 - 4,広島,加藤,3:18,札幌ドーム,6月6日(火)
6月7日(水),"26,843 人",●,3 - 8,広島,斎藤佑樹,3:01,札幌ドーム,6月7日(水)
6月8日(木),"20,953 人",●,3 - 5,広島,浦野,3:24,札幌ドーム,6月8日(木)
6月9日(金),"29,692 人",●,1 - 2,巨人,高梨,2:35,札幌ドーム,6月9日(金)
6月10日(土),"41,138 人",○,3 - 2,巨人,メンドーサ,2:55,札幌ドーム,6月10日(土)
6月11日(日),"41,138 人",○,5 - 1,巨人,村田,2:48,札幌ドーム,6月11日(日)
6月23日(金),"23,552 人",○,7 - 3,楽天,メンドーサ,3:10,札幌ドーム,6月23日(金)
6月24日(土),"40,480 人",●,1 - 2,楽天,有原,3:46,札幌ドーム,6月24日(土)
6月25日(日),"29,801 人",●,0 - 6,楽天,浦野,3:05,札幌ドーム,6月25日(日)
7月3日(月),"29,847 人",●,4 - 11,西武,高梨,3:31,東京ドーム,7月3日(月)
7月4日(火),"32,702 人",●,1 - 4,西武,加藤,2:48,東京ドーム,7月4日(火)
7月6日(木),"20,265 人",●,6 - 7,西武,メンドーサ,3:22,札幌ドーム,7月6日(木)
7月7日(金),"27,107 人",●,1 - 4,ソフトバンク,有原,3:24,札幌ドーム,7月7日(金)
7月8日(土),"41,138 人",●,2 - 5,ソフトバンク,井口,3:20,札幌ドーム,7月8日(土)
7月9日(日),"34,309 人",○,2 - 0,ソフトバンク,上沢,2:48,札幌ドーム,7月9日(日)
7月18日(火),"10,692 人",●,1 - 5,楽天,有原,3:21,函館,7月18日(火)
7月19日(水),"31,515 人",●,2 - 3,楽天,上沢,3:23,札幌ドーム,7月19日(水)
7月20日(木),"21,323 人",○,4 - 3,楽天,吉田,4:19,札幌ドーム,7月20日(木)
7月25日(火),"11,534 人",●,0 - 4,ロッテ,有原,3:33,釧路,7月25日(火)
7月26日(水),"12,663 人",○,4 - 2,ロッテ,上沢,2:45,帯広,7月26日(水)
8月5日(土),"40,523 人",●,4 - 6,オリックス,上沢,3:36,札幌ドーム,8月5日(土)
8月6日(日),"36,821 人",●,2 - 5,オリックス,上原,3:12,札幌ドーム,8月6日(日)
8月16日(水),"29,430 人",○,4 - 2,ロッテ,有原,3:07,札幌ドーム,8月16日(水)
8月17日(木),"25,062 人",○,8 - 7,ロッテ,加藤,4:07,札幌ドーム,8月17日(木)
8月18日(金),"33,951 人",○,4 - 0,西武,メンドーサ,2:41,札幌ドーム,8月18日(金)
8月19日(土),"33,718 人",●,0 - 3,西武,上沢,3:07,札幌ドーム,8月19日(土)
8月20日(日),"40,523 人",○,9 - 3,西武,上原,3:28,札幌ドーム,8月20日(日)
8月29日(火),,-,中止,ソフトバンク,,,旭川,8月29日(火)
8月30日(水),"15,111 人",○,3 - 1,ソフトバンク,有原,2:38,旭川,8月30日(水)
8月31日(木),"33,873 人",●,3 - 4,ソフトバンク,大谷,3:12,札幌ドーム,8月31日(木)
9月5日(火),"17,507 人",●,1 - 6,楽天,上沢,3:15,富山,9月5日(火)
9月7日(木),"39,495 人",●,4 - 6,楽天,有原,3:22,東京ドーム,9月7日(木)
9月12日(火),"29,648 人",○,7 - 0,楽天,大谷,2:46,札幌ドーム,9月12日(火)
9月13日(水),"23,013 人",●,1 - 4,ロッテ,上沢,2:50,札幌ドーム,9月13日(水)
9月14日(木),"22,382 人",●,4 - 6,ロッテ,有原,3:06,札幌ドーム,9月14日(木)
