日付,観客数,勝敗,スコア,対戦相手,先発投手,試合時間,球場,日付
5月31日(日),"21,403 人",○,8 - 6,中日,有原,3:39,札幌ドーム,5月31日(日)
6月9日(火),"25,365 人",○,3 - 2,巨人,有原,3:08,札幌ドーム,6月9日(火)
6月10日(水),"26,819 人",○,3 - 0,巨人,浦野,2:47,札幌ドーム,6月10日(水)
6月11日(木),"23,971 人",●,4 - 8,巨人,上沢,3:47,札幌ドーム,6月11日(木)
6月12日(金),"27,024 人",○,8 - 7,DeNA,武田勝,4:45,札幌ドーム,6月12日(金)
6月13日(土),"41,138 人",○,3 - 2,DeNA,吉川,2:36,札幌ドーム,6月13日(土)
6月14日(日),"36,354 人",○,3 - 1,DeNA,大谷,3:00,札幌ドーム,6月14日(日)
6月23日(火),"19,249 人",●,3 - 6,ロッテ,浦野,3:34,旭川,6月23日(火)
6月24日(水),"21,588 人",○,7 - 0,ロッテ,大谷,2:48,旭川,6月24日(水)
6月30日(火),,-,中止,オリックス,,,函館,6月30日(火)
7月2日(木),"21,531 人",○,8 - 4,オリックス,大谷,4:06,札幌ドーム,7月2日(木)
7月10日(金),"41,138 人",○,1 - 0,西武,大谷,2:29,札幌ドーム,7月10日(金)
7月11日(土),"41,138 人",○,8 - 7,西武,有原,3:50,札幌ドーム,7月11日(土)
7月12日(日),"41,138 人",○,10 - 0,西武,メンドーサ,3:19,札幌ドーム,7月12日(日)
7月14日(火),"14,118 人",○,3 - 2,ソフトバンク,吉川,3:29,帯広,7月14日(火)
7月15日(水),"14,917 人",●,4 - 7,ソフトバンク,上沢,4:47,帯広,7月15日(水)
7月20日(月),"26,592 人",●,1 - 3,楽天,メンドーサ,2:55,札幌ドーム,7月20日(月)
7月21日(火),"21,432 人",●,1 - 3,楽天,有原,3:42,札幌ドーム,7月21日(火)
7月22日(水),"20,566 人",●,6 - 19,楽天,浦野,3:27,札幌ドーム,7月22日(水)
7月31日(金),"29,524 人",●,3 - 6,ロッテ,吉川,3:19,札幌ドーム,7月31日(金)
8月1日(土),"38,074 人",○,4 - 2,ロッテ,メンドーサ,2:59,札幌ドーム,8月1日(土)
8月2日(日),"41,138 人",●,1 - 2,ロッテ,中村,3:12,札幌ドーム,8月2日(日)
8月7日(金),"25,238 人",○,6 - 1,楽天,吉川,2:54,札幌ドーム,8月7日(金)
8月8日(土),"29,672 人",○,4 - 3,楽天,斎藤佑,4:15,札幌ドーム,8月8日(土)
8月9日(日),"41,138 人",○,5 - 2,楽天,中村,3:23,札幌ドーム,8月9日(日)
8月21日(金),"30,757 人",○,5 - 4,オリックス,吉川,4:03,東京ドーム,8月21日(金)
8月22日(土),"39,901 人",●,1 - 10,オリックス,斎藤佑,3:29,東京ドーム,8月22日(土)
8月23日(日),"31,240 人",○,5 - 1,オリックス,中村,3:14,東京ドーム,8月23日(日)
8月25日(火),"23,120 人",○,2 - 0,西武,メンドーサ,2:59,札幌ドーム,8月25日(火)
8月26日(水),"28,715 人",○,3 - 0,西武,大谷,3:07,札幌ドーム,8月26日(水)
8月27日(木),"23,917 人",●,0 - 6,西武,新垣,3:09,札幌ドーム,8月27日(木)
9月1日(火),"22,520 人",○,9 - 1,ロッテ,メンドーサ,3:06,東京ドーム,9月1日(火)
9月2日(水),"31,077 人",●,2 - 4,ロッテ,大谷,3:06,東京ドーム,9月2日(水)
9月3日(木),"20,785 人",●,2 - 3,ロッテ,吉川,2:54,東京ドーム,9月3日(木)
9月8日(火),"24,587 人",●,5 - 8,ソフトバンク,メンドーサ,4:12,旭川,9月8日(火)
9月9日(水),"24,471 人",●,2 - 13,ソフトバンク,吉川,3:42,札幌ドーム,9月9日(水)
9月10日(木),"25,927 人",●,3 - 7,ソフトバンク,大谷,3:29,札幌ドーム,9月10日(木)
9月13日(日),"27,618 人",●,3 - 5,オリックス,有原,3:46,札幌ドーム,9月13日(日)
9月14日(月),"13,409 人",○,8 - 7,オリックス,メンドーサ,3:21,札幌ドーム,9月14日(月)
9月15日(火),"19,755 人",○,6 - 3,楽天,吉川,3:14,札幌ドーム,9月15日(火)
9月19日(土),"30,563 人",○,6 - 1,西武,大谷,3:07,札幌ドーム,9月19日(土)
9月20日(日),"32,480 人",○,9 - 7,西武,メンドーサ,3:31,札幌ドーム,9月20日(日)
9月21日(月),"31,557 人",●,2 - 6,ソフトバンク,中村,3:31,札幌ドーム,9月21日(月)
9月22日(火),"35,497 人",○,4 - 3,ソフトバンク,吉川,3:16,札幌ドーム,9月22日(火)
9月23日(水),"34,591 人",○,3 - 2,ソフトバンク,有原,4:15,札幌ドーム,9月23日(水)
9月30日(水),"24,678 人",●,1 - 4,ロッテ,吉川,2:45,札幌ドーム,9月30日(水)
10月1日(木),"33,013 人",●,2 - 10,ロッテ,有原,3:23,札幌ドーム,10月1日(木)
