日付,観客数,勝敗,スコア,対戦相手,先発投手,試合時間,球場,日付
3月27日(金),"41,138 人",○,5 - 2,楽天,大谷,3:18,札幌ドーム,3月27日(金)
3月28日(土),"34,552 人",●,2 - 4,楽天,武田勝,3:48,札幌ドーム,3月28日(土)
3月29日(日),"31,670 人",○,11 - 1,楽天,ガラテ,3:17,札幌ドーム,3月29日(日)
4月7日(火),"27,569 人",○,4 - 0,西武,メンドーサ,2:48,東京ドーム,4月7日(火)
4月8日(水),"23,228 人",○,6 - 1,西武,吉川,3:16,東京ドーム,4月8日(水)
4月14日(火),"20,866 人",●,1 - 6,ロッテ,メンドーサ,2:27,札幌ドーム,4月14日(火)
4月15日(水),"20,096 人",○,8 - 2,ロッテ,吉川,2:36,札幌ドーム,4月15日(水)
4月24日(金),"17,049 人",○,2 - 1,オリックス,吉川,3:04,札幌ドーム,4月24日(金)
4月25日(土),"27,257 人",●,3 - 7,オリックス,上沢,3:24,札幌ドーム,4月25日(土)
4月26日(日),"28,500 人",○,3 - 1,オリックス,大谷,2:56,札幌ドーム,4月26日(日)
4月28日(火),"20,615 人",○,3 - 1,ソフトバンク,メンドーサ,2:25,札幌ドーム,4月28日(火)
4月29日(水),"25,214 人",●,5 - 10,ソフトバンク,中村,3:49,札幌ドーム,4月29日(水)
5月4日(月),"30,828 人",●,1 - 4,楽天,ガラテ,3:50,札幌ドーム,5月4日(月)
5月5日(火),"26,687 人",○,4 - 2,楽天,武田勝,3:16,札幌ドーム,5月5日(火)
5月6日(水),"24,705 人",●,2 - 7,楽天,中村,3:24,札幌ドーム,5月6日(水)
5月12日(火),"19,368 人",●,2 - 5,西武,浦野,2:55,札幌ドーム,5月12日(火)
5月13日(水),"19,139 人",●,7 - 8,西武,メンドーサ,4:31,札幌ドーム,5月13日(水)
5月14日(木),"22,778 人",○,2 - 1,西武,大谷,2:48,札幌ドーム,5月14日(木)
5月15日(金),"27,561 人",○,3 - 2,オリックス,有原,3:27,札幌ドーム,5月15日(金)
5月16日(土),"30,452 人",●,0 - 2,オリックス,吉川,2:43,札幌ドーム,5月16日(土)
5月17日(日),"28,427 人",○,5 - 2,オリックス,上沢,3:40,札幌ドーム,5月17日(日)
5月22日(金),"22,892 人",○,6 - 5,ソフトバンク,大谷,3:31,札幌ドーム,5月22日(金)
5月23日(土),"25,407 人",○,9 - 2,ソフトバンク,吉川,3:40,札幌ドーム,5月23日(土)
5月24日(日),"25,403 人",●,0 - 12,ソフトバンク,有原,3:14,札幌ドーム,5月24日(日)
5月29日(金),"16,749 人",●,2 - 4,中日,吉川,2:47,札幌ドーム,5月29日(金)
5月30日(土),"21,350 人",○,4 - 2,中日,大谷,3:14,札幌ドーム,5月30日(土)
