日付,観客数,勝敗,スコア,対戦相手,先発投手,試合時間,球場,日付
9月16日(日),"42,063 人",●,2 - 5,ソフトバンク,中村,3:42,札幌ドーム,9月16日(日)
9月17日(月),"27,406 人",○,5 - 4,オリックス,森内,3:23,札幌ドーム,9月17日(月)
9月18日(火),"22,230 人",○,6 - 2,オリックス,武田勝,2:56,札幌ドーム,9月18日(火)
9月19日(水),"17,076 人",○,4 - 2,オリックス,谷元,3:21,札幌ドーム,9月19日(水)
9月25日(火),"20,098 人",△,3 - 3,ロッテ,武田勝,3:41,札幌ドーム,9月25日(火)
9月26日(水),"20,802 人",○,5 - 2,ロッテ,谷元,2:59,札幌ドーム,9月26日(水)
9月27日(木),"24,620 人",○,3 - 1,ロッテ,多田野,3:00,札幌ドーム,9月27日(木)
9月28日(金),"30,312 人",○,5 - 0,西武,吉川,2:35,札幌ドーム,9月28日(金)
9月29日(土),"37,316 人",○,4 - 2,西武,ウルフ,3:12,札幌ドーム,9月29日(土)
10月3日(水),"36,314 人",●,1 - 10,ソフトバンク,武田勝,3:06,札幌ドーム,10月3日(水)
10月5日(金),"35,789 人",●,3 - 7,楽天,斎藤佑,3:26,札幌ドーム,10月5日(金)
