日付,観客数,勝敗,スコア,対戦相手,先発投手,試合時間,球場,日付
4月12日(火),"38,968 人",●,3 - 12,西武,ダルビッシュ,2:56,札幌ドーム,4月12日(火)
4月13日(水),"17,218 人",●,3 - 8,西武,ウルフ,2:56,札幌ドーム,4月13日(水)
4月15日(金),"24,891 人",○,4 - 1,ロッテ,武田勝,2:19,札幌ドーム,4月15日(金)
4月16日(土),"28,264 人",●,6 - 7,ロッテ,ケッペル,3:46,札幌ドーム,4月16日(土)
4月17日(日),"37,863 人",○,8 - 4,ロッテ,斎藤佑,2:49,札幌ドーム,4月17日(日)
4月26日(火),"22,700 人",○,3 - 2,ソフトバンク,ダルビッシュ,2:52,札幌ドーム,4月26日(火)
4月27日(水),"19,460 人",●,0 - 5,ソフトバンク,武田勝,3:00,札幌ドーム,4月27日(水)
4月29日(金),"25,287 人",○,4 - 1,西武,ウルフ,2:26,札幌ドーム,4月29日(金)
4月30日(土),"30,410 人",○,9 - 6,西武,ケッペル,3:13,札幌ドーム,4月30日(土)
5月1日(日),"42,063 人",△,3 - 3,西武,斎藤佑,3:48,札幌ドーム,5月1日(日)
5月6日(金),"22,650 人",●,1 - 4,ソフトバンク,ウルフ,2:35,札幌ドーム,5月6日(金)
5月7日(土),"25,752 人",○,3 - 2,ソフトバンク,ケッペル,2:52,札幌ドーム,5月7日(土)
5月8日(日),"34,269 人",●,2 - 4,ソフトバンク,斎藤佑,3:45,札幌ドーム,5月8日(日)
5月14日(土),"19,362 人",○,11 - 2,オリックス,ケッペル,2:40,函館,5月14日(土)
5月15日(日),"20,314 人",○,9 - 1,オリックス,ウルフ,3:41,函館,5月15日(日)
5月17日(火),"25,721 人",●,0 - 2,ヤクルト,武田勝,2:58,札幌ドーム,5月17日(火)
5月18日(水),"23,959 人",○,3 - 0,ヤクルト,ダルビッシュ,2:50,札幌ドーム,5月18日(水)
5月20日(金),"33,597 人",○,3 - 1,巨人,ケッペル,2:34,札幌ドーム,5月20日(金)
5月21日(土),"42,063 人",●,3 - 4,巨人,八木,3:07,札幌ドーム,5月21日(土)
5月28日(土),"23,766 人",○,1 - 0,広島,吉川,3:48,札幌ドーム,5月28日(土)
5月29日(日),"28,219 人",○,1 - 0,広島,武田勝,3:06,札幌ドーム,5月29日(日)
5月31日(火),"29,072 人",○,5 - 0,阪神,ウルフ,3:00,札幌ドーム,5月31日(火)
6月1日(水),"30,809 人",○,1 - 0,阪神,ダルビッシュ,2:58,札幌ドーム,6月1日(水)
6月8日(水),"27,076 人",○,1 - 0,中日,ダルビッシュ,2:14,札幌ドーム,6月8日(水)
6月9日(木),"19,738 人",○,3 - 2,中日,糸数,2:39,札幌ドーム,6月9日(木)
6月11日(土),"37,686 人",○,3 - 2,横浜,ケッペル,2:43,札幌ドーム,6月11日(土)
6月12日(日),"37,215 人",○,4 - 3,横浜,ウルフ,3:06,札幌ドーム,6月12日(日)
6月28日(火),"28,328 人",●,0 - 1,ロッテ,ウルフ,2:36,札幌ドーム,6月28日(火)
6月29日(水),"27,669 人",●,1 - 4,ロッテ,斎藤佑,2:47,札幌ドーム,6月29日(水)
6月30日(木),"21,369 人",○,5 - 4,ロッテ,ダルビッシュ,2:52,札幌ドーム,6月30日(木)
7月9日(土),"24,272 人",○,7 - 1,楽天,武田勝,3:13,旭川,7月9日(土)
7月10日(日),"24,134 人",○,3 - 2,楽天,ケッペル,3:05,旭川,7月10日(日)
7月11日(月),"25,154 人",●,3 - 5,楽天,斎藤佑,3:28,札幌ドーム,7月11日(月)
7月15日(金),"24,918 人",○,10 - 2,西武,武田勝,3:01,札幌ドーム,7月15日(金)
7月16日(土),"42,063 人",○,3 - 2,西武,ケッペル,3:01,札幌ドーム,7月16日(土)
7月17日(日),"42,063 人",○,1 - 0,西武,斎藤佑,2:32,札幌ドーム,7月17日(日)
7月19日(火),"22,563 人",○,3 - 2,楽天,ウルフ,2:49,東京ドーム,7月19日(火)
7月20日(水),"44,826 人",○,3 - 1,楽天,ダルビッシュ,2:23,東京ドーム,7月20日(水)
7月26日(火),"20,196 人",●,3 - 6,オリックス,吉川,3:18,帯広,7月26日(火)
7月27日(水),"14,414 人",○,13 - 5,オリックス,ウルフ,4:13,帯広,7月27日(水)
8月2日(火),"25,610 人",●,2 - 3,ロッテ,斎藤佑,3:19,札幌ドーム,8月2日(火)
8月3日(水),"27,020 人",●,2 - 5,ロッテ,ウルフ,2:57,札幌ドーム,8月3日(水)
8月4日(木),"20,427 人",△,4 - 4,ロッテ,吉川,3:35,札幌ドーム,8月4日(木)
8月12日(金),"34,665 人",○,4 - 0,ソフトバンク,ダルビッシュ,3:06,札幌ドーム,8月12日(金)
8月13日(土),"36,675 人",●,0 - 4,ソフトバンク,武田勝,2:51,札幌ドーム,8月13日(土)
8月14日(日),"37,353 人",○,5 - 2,ソフトバンク,斎藤佑,3:07,札幌ドーム,8月14日(日)
8月19日(金),"30,466 人",○,3 - 2,オリックス,ダルビッシュ,3:30,札幌ドーム,8月19日(金)
8月20日(土),"34,064 人",○,4 - 0,オリックス,斎藤佑,3:17,札幌ドーム,8月20日(土)
8月21日(日),"29,892 人",○,3 - 2,オリックス,ウルフ,3:25,札幌ドーム,8月21日(日)
8月23日(火),"21,608 人",●,2 - 6,楽天,武田勝,3:26,札幌ドーム,8月23日(火)
8月24日(水),"21,939 人",●,2 - 5,楽天,糸数,3:02,札幌ドーム,8月24日(水)
8月25日(木),"20,330 人",●,1 - 2,楽天,ダルビッシュ,2:58,札幌ドーム,8月25日(木)
9月5日(月),"17,252 人",●,3 - 6,ソフトバンク,武田勝,3:17,札幌ドーム,9月5日(月)
9月6日(火),"25,008 人",●,0 - 1,ソフトバンク,ダルビッシュ,3:15,札幌ドーム,9月6日(火)
9月7日(水),"24,788 人",●,4 - 7,ソフトバンク,大塚,3:10,札幌ドーム,9月7日(水)
9月13日(火),"23,868 人",○,4 - 0,ロッテ,ウルフ,2:40,東京ドーム,9月13日(火)
9月14日(水),"25,128 人",○,2 - 1,ロッテ,武田勝,2:40,東京ドーム,9月14日(水)
9月15日(木),"23,821 人",○,2 - 1,ロッテ,ケッペル,2:46,東京ドーム,9月15日(木)
9月23日(金),"38,330 人",●,2 - 4,オリックス,ダルビッシュ,3:12,札幌ドーム,9月23日(金)
9月24日(土),"33,088 人",●,0 - 5,オリックス,斎藤佑,3:06,札幌ドーム,9月24日(土)
9月25日(日),"33,990 人",●,0 - 4,オリックス,ケッペル,3:06,札幌ドーム,9月25日(日)
10月4日(火),"17,707 人",○,2 - 0,楽天,武田勝,2:34,札幌ドーム,10月4日(火)
10月5日(水),"22,070 人",●,1 - 3,楽天,ダルビッシュ,2:48,札幌ドーム,10月5日(水)
10月6日(木),"16,230 人",○,2 - 0,楽天,斎藤佑,2:15,札幌ドーム,10月6日(木)
10月8日(土),"24,315 人",○,1 - 0,西武,ケッペル,2:16,札幌ドーム,10月8日(土)
10月9日(日),"28,575 人",●,2 - 6,西武,中村,3:48,札幌ドーム,10月9日(日)
10月10日(月),"22,487 人",●,0 - 12,西武,武田勝,3:07,札幌ドーム,10月10日(月)
10月11日(火),"22,844 人",○,3 - 0,西武,ダルビッシュ,2:31,札幌ドーム,10月11日(火)
10月13日(木),"24,548 人",●,0 - 6,ソフトバンク,矢貫,3:37,札幌ドーム,10月13日(木)
10月14日(金),"25,426 人",○,8 - 1,オリックス,ケッペル,2:53,札幌ドーム,10月14日(金)
10月15日(土),"28,390 人",●,0 - 4,オリックス,ウルフ,2:59,札幌ドーム,10月15日(土)
10月16日(日),"42,063 人",●,0 - 2,楽天,中村,2:53,札幌ドーム,10月16日(日)
